term_group,terms,status,priority,last_seen,last_result,evidence,next_action,notes
illegible_vs_illiterate,"illegible; illiterate",recovery,P1,2026-07-31,wrong_selected,"Cumulative Q3: selected illiterate; correct illegible","Ask paired handwriting/person questions","illegible = text cannot be read; illiterate = person cannot read/write"
misuse_vs_mislead_vs_mismatch,"misuse; mislead; mismatch",recovery,P1,2026-07-31,wrong_selected,"Cumulative Q5/Q6 wrong","Ask data-use, ad-deception, compatibility questions","misuse data; mislead customers; create a mismatch"
objective_vs_observant_vs_observable,"objective; observant; observable",recovery,P1,2026-07-31,wrong_selected,"Cumulative Q13/Q14 wrong","Ask researcher, guard, measurable effect questions","objective = unbiased; observant = notices details; observable = can be seen/measured"
mishandle_vs_misbehave,"mishandle; misbehave",recovery,P1,2026-07-31,wrong_or_unknown,"Cumulative Q28 wrong; Q30 unknown","Ask incident-handling and student-behavior questions","mishandle an incident; misbehave during an event"
illogical_vs_irrelevant_vs_irrational,"illogical; irrelevant; irrational",recovery,P1,2026-07-31,wrong_or_unknown,"Cumulative Q41 wrong; Q42 unknown","Ask evidence logic, unrelated info, emotional decision questions","illogical = no logic; irrelevant = unrelated; irrational = unreasonable"
intersect,intersect,recovery,P2,2026-07-31,unknown,"Cumulative Q39 unknown","Ask road/railway/line crossing question","intersect = cross or meet at a point"
microaggression,microaggression,recovery,P2,2026-07-31,unknown,"Cumulative Q36 unknown","Ask subtle identity/background insult question","microaggression = subtle insulting remark/action"
biannual_vs_biennial,"biannual; biennial",cooldown,P3,2026-07-31,correct,"Cumulative Q1/Q2 correct","Light watch only","biannual = twice a year; biennial = every two years"
non_urgent_vs_non_essential,"non-urgent; non-essential",cooldown,P3,2026-07-31,correct_after_previous_error,"Cumulative Q7/Q8 correct","Light watch only","non-urgent = can wait; non-essential = not core/necessary"
autonomous_vs_automatic,"autonomous; automatic",cooldown,P3,2026-07-31,correct,"Cumulative Q47/Q48 correct","Cooldown","autonomous = self-governing; automatic = operates by itself for a function"
catalyst_vs_context,"catalyst; context",cooldown,P3,2026-07-31,correct,"Cumulative Q49/Q50 correct","Cooldown","catalyst = trigger for change; context = background needed to understand"
forecast_vs_forewarn,"forecast; forewarn",cooldown,P3,2026-07-31,correct,"Cumulative Q45/Q46 correct","Cooldown","forecast future trend; forewarn someone about danger"
include_vs_insert,"include; insert",cooldown,P3,2026-07-31,correct,"Cumulative Q43/Q44 correct","Cooldown","include content; insert into a field/place"
multipurpose,multipurpose,light_watch,P3,2026-07-31,correct,"Daily 29/07 uncertain but correct; cumulative Q23 correct","Occasional check","multipurpose = many uses"
midstream,midstream,light_watch,P3,2026-07-31,correct,"Daily 27/07 uncertain but correct; cumulative Q32 correct","Occasional check","midstream = in the middle of a process"
