unit,prefix_group,word,part_of_speech,meaning_en,meaning_vi_ascii,status,priority,last_seen,source,notes
22,mid,midday,noun,time around noon,giua trua,cooldown,P3,2026-07-31,2026-07-31 package,
22,mid,midlife,noun/adjective,middle period of life,trung nien,cooldown,P3,2026-07-31,2026-07-31 package,
22,mid,midnight,noun,twelve o'clock at night,nua dem,cooldown,P3,2026-07-31,2026-07-31 package,
22,mid,midterm,noun/adjective,middle of a term,giua ky,cooldown,P3,2026-07-31,2026-07-31 package,
22,mid,midtown,noun,central part of a city,khu trung tam,cooldown,P3,2026-07-31,2026-07-31 package,
22,mid,midway,adverb/adjective,halfway,giua duong,cooldown,P3,2026-07-31,2026-07-31 package,
22,mid,mid-air,noun/adjective,in the air while moving,giua khong trung,cooldown,P3,2026-07-31,2026-07-31 package,
22,mid,midstream,noun/adverb,in the middle of a process,giua chung trong qua trinh,cooldown,P3,2026-09-08,quiz history,Correct confidently in changing-requirements-during-a-process context
22,mid,midwinter,noun,middle of winter,giua mua dong,cooldown,P3,2026-07-31,2026-07-31 package,
22,mid,midpoint,noun,middle point,diem giua,cooldown,P3,2026-07-31,2026-07-31 package,
22,mid,mid-range,adjective,in the middle range,tam trung,cooldown,P3,2026-07-31,2026-07-31 package,
22,mid,midweek,noun/adjective,middle of the week,giua tuan,cooldown,P3,2026-07-31,2026-07-31 package,
22,mid,mid-afternoon,noun,middle of the afternoon,giua buoi chieu,cooldown,P3,2026-07-31,2026-07-31 package,
22,mid,mid-century,noun/adjective,middle of a century,giua the ky,cooldown,P3,2026-07-31,2026-07-31 package,
22,mid,midsize,adjective,medium-sized,co vua,cooldown,P3,2026-07-31,2026-07-31 package,
23,mis,misbehave,verb,behave badly,cu xu khong dung,cooldown,P3,2026-07-31,2026-07-31 package,Was recovery after July cumulative
23,mis,mislead,verb,cause someone to believe something false,lam cho hieu sai,cooldown,P3,2026-08-04,quiz history,Improved
23,mis,misunderstand,verb,understand incorrectly,hieu nham,cooldown,P3,2026-07-31,2026-07-31 package,
23,mis,misuse,verb,use wrongly or improperly,su dung sai,cooldown,P3,2026-08-03,quiz history,Improved
23,mis,mistake,noun/verb,error; misunderstand,loi; nham,cooldown,P3,2026-07-31,2026-07-31 package,
23,mis,mistreat,verb,treat badly,doi xu te,cooldown,P3,2026-07-31,2026-07-31 package,
23,mis,misread,verb,read incorrectly,doc nham,cooldown,P3,2026-07-31,2026-07-31 package,
